url,title,description,bedrooms,bathrooms,floor_area_sqm,street_address,city,region,latitude,longitude,amenities,price,lot_area_sqm,property_type_raw
https://www.lamudi.com.ph/property/41032-73-1b8fbc08ef34-c110-19e1a1b-82cb-7292,Commercial Lot For Sale in Poblacion,"Code: DS88-006048
Category: For Sale
Project: Commercial Lot
City: Liloan, Cebu City
Size: 198,000 sqm
Price per sqm: ₱5,000
Selling Price: ₱990,000,000.00 Net Take Home of Seller

Details of the Property:
• Clean Title
• As is where is

If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us:
JACKSON LIM JR.
Licensed Real Estate Broker - PRC#0005478
Top Realty Corporation.
📱 0917---300-71----
🌐Website: www.toprealty.co----
▶️ www.youtube.com/@OfficialTopRe----",,,,"Liloan, Lalawigan ng Cebu, Pilipinas",Liloan,Cebu,10.39926,124.0000198,,990000000,198000.0,"Accommodation | land | Liloan, Cebu City, 198,000 SQM Commercial Lot"
https://www.lamudi.com.ph/property/41032-73-203705f63848-e0a3-19e2ac0-adf4-7551,Land For Sale in Banilad,"345 SqM Lot for Sale in Maria Luisa Park

Maria Luisa Estate Park is undoubtedly Cebu’s most sought after residential development not only by locals but foreigners as well. With lots that give you the best views of the surrounding landscape and choice cuts ensconced in gorgeous valleys and hills, Maria Luisa Estate Park remains unsurpassed. A drive through this posh subdivision’s winding roads will reveal why this is so.

The lush landscape gives an instantaneous calming effect to anyone who enters Maria Luisa Estate Park. Away from the maddening city lifestyle, its residents have long found comfort in the tranquility that envelopes the community. For decades, Maria Luisa Estate Park has provided security and safety to everyone who has lived there.

Property ID: SLML31
Type: Lot for Sale
Location: Maria Luisa Park, Banilad, Cebu City
Lot Area: 345 SqM
Topography: Flat",,,,"Banilad, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu,Cebu,10.3518061,123.9053005,Security,34500000,345.0,Accommodation | land | 345 SqM Lot
https://www.lamudi.com.ph/property/41032-73-2d3831f7d6d6-e9c3-19e5ac3-b8cb-7220,Residential Lot For Sale in Minglanilla,"Prime Lot only located in Lower Pakigne Minglanilla
📌Inside peaceful gated pocket subdivision
Details:
137sqm
Clean title with lot plan
➡️Only 350 meters or 1 minute drive from highway
➡️Only 2-3 min drive to the upcoming Ming Mori Techno Business Park
Price: ₱2.5M
Buyer shoulder taxes and other related charges.",,,,"Pakigne, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,Cebu,10.258567,123.8062341,,2500000,137.0,"Accommodation | land | Rush Sale Residential Lot in Minglanilla , Cebu , Philippines"
https://www.lamudi.com.ph/property/41032-73-81e4d6d2369-a7e5-19e8445-8879-70d4,Land For Sale in Poblacion,"Manila Memorial Park 
Location: Liloan 
Lot Area: 12.5 sqm
Sale: Php 160K

near entrance",,,,"Manila Memorial Park Cebu, Cebu North Road, Liloan, Lalawigan ng Cebu, Pilipinas",Liloan,Cebu,10.4033868,123.9938799,,160000,12.0,Accommodation | land | Lot in Manila Memorial Park Liloan
https://www.lamudi.com.ph/property/41032-73-a15a967d72b1-c7c2-19e54f7-ae7e-7273,Residential Lot For Sale in Lagtang,"Lot with Panoramic View for Sale!
Location: Kishanta Subdivision, Talisay City, Cebu

Lot area: 266sqm.
Corner lot

Price: 24,000/sqm.
TSP: Php 6,384,000.00
Seller to shoulder the CGT
Buyer to shoulder other taxes and transfer charges including notarial fees.
Disclaimer: Price may change without prior notice.",,,,"Kishanta Subdivision, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay,Cebu,10.2754314,123.8320574,"Garage, Security, Swimming pool",6384000,266.0,Accommodation | land | Corner lot with panoramic view
https://www.lamudi.com.ph/property/41032-73-52b809b36310-516b-19e2720-b29f-79d5,Condo For Sale in San Roque,"• easy move-in promo
• 3 months equity payment  plus move-in fees can be schedule for turnover
• near SRP
• 10minutes to SM Seaside, ILCorsu, NUStar , CCLEX",2.0,1.0,,"V.H. Garces Street, Tangke, Talisay City, Cebu, Central Visayas, PHL",Talisay,Cebu,10.25449,123.864232,"24 hours security, Garage, Playground, Swimming pool, Water tank, Multipurpose room, Unfurnished",6890877,,Accommodation | condo | 2BR Condo with Free Parking Space
https://www.lamudi.com.ph/property/41032-73-b991a295bb93-2d0-19e5c99-bb8b-7b30,Residential Lot For Sale in San Vicente,"Lot for sale inside El Monte Grande Subdivision, Liloan Cebu. Asap 1

CHECK VIDEO LINK TO APPRECIATE
https://youtu.be/kyoOuieHs-k?si=SyvcS9xPNMkP----

Price: ₱12k/sqm

Lot area: 251 sqm
24 hours Security Guard
Daghan na balay nagtukod

✅GUARANTEED flood free

AMENITIES:
✔️ Water Line System
✔️Electrical Line System
✔️Drainage 
✔️Concrete Road 
✔️Entrance with Guard House
✔️Parks and Playground
✔Basketball Court
✔️Club House

Message for site visit.
+63926081----
(Whatsapp/Viber/iMessage)",,,,"San Vicente, Liloan, Cebu, Central Visayas, PHL",Liloan,Cebu,10.40423496,123.9666393,,3012000,251.0,Accommodation | land | SACRIFICIAL SALE: Residential Lot with stunning views
https://www.lamudi.com.ph/property/41032-73-16ae901f5f11-d51c-19e6314-9424-7b2f,Townhouse For Sale in Cebu,"Southside Residences 🪴

✅ Location: Punta Princesa, Cebu City
✅ Reputable developer
✅ Ready-for-Occupancy
✅ Townhouse (cluster of 6) 
✅ Fully Finished with modern design
✅ Flexible payment term
✅ Accessibility to schools, shops, malls, churches (City living)

For sample computations,  unit viewing,  reservations and free assistance,  please feel free to contact:
 Ann Leong 0917.625.---- 
Rommel Cabrera 0905.488.----",3.0,3.0,117.0,"Punta Princesa, Cebu City, Cebu, Pilipinas",Cebu,Cebu,10.2950833,123.8648496,"Badminton court, Garage, Unfurnished",10000000,,Accommodation | house/townhouse | Ready For Occupancy 3 Bedroom Units
https://www.lamudi.com.ph/property/41032-73-1eb98d708187-c739-19e91df-beff-7325,Townhouse For Sale in Lahug,"FOR SALE: Solar-Powered Townhouse in Cebu City (No Electricity Cost!)

Looking for a spacious and conveniently located home? This well-designed townhouse is perfect for families or professionals seeking comfort, accessibility, and modern living.

📍 Location: Sanson Road, Lahug, Cebu City

Property Features:
* Lot Area: 100 sqm
* Floor Area: 200 sqm
* 4 Bedrooms
* 2 Toilet & Bath
* Powder Room
* 2-Car Garage
* Solar-Powered (No Electricity Cost!)

Selling Price: ₱16,3M (Net of taxes)

For more details about this property, or for any real estate needs, CONTACT US:
Mobile/ WhatsApp/ Viber: +63 931 117 ----
Email: ----@creb.com.ph
Website: creb.com.ph
Facebook: CEBUREALESTATEBROKERAGESERVICES
IG: ceburealestatebrokerage

Disclaimer: Availability, pricing & and some details of the property may change without prior notice. Cebu Real Estate Brokerage Services will disclose any changes pertaining to the property to interested parties.",2.0,2.0,200.0,"Sanson Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu,Cebu,10.3314565,123.8967152,"Air conditioning, Garage, Electricity, Powder room, Water, Fully furnished",16300000,100.0,Accommodation | house/townhouse | FOR SALE | 4BR Solar-Powered Townhouse in Cebu City -200 SQM
https://www.lamudi.com.ph/property/41032-73-25c7b782d1a3-ef18-19e8bd2-a7f4-76c7,Condo For Sale in Cebu,"Citylights Garden
Location: Lahug, Cebu City

Bedroom: 3
Toilet & Bath: 2
Floor Area: 159 sqm
Monthly Rent: Php 85,000
Sale: Php 19M

2 parking slots",3.0,2.0,159.0,"Apas, Cebu City, Cebu, Central Visayas, PHL",Cebu,Cebu,10.34530064,123.8984742,"24 hours security, Balcony, Gym, Security, Swimming pool, Fully furnished",85000/month,,Accommodation | condo | Newly repainted 3 Bedroom in Citylights
