Valuation Method,Primary Use,Key Calculation/Input,Advantages,Disadvantages/Limitations,Regional Context,Associated Technology (Inferred),Source
Direct Comparison (Market Approach),"Commonly applied to residential properties, land, and homogenous assets (e.g. vehicles, equipment) in active markets.","Comparison of the subject asset with identical or similar assets using units of comparison (e.g. price per square metre, price per room, yield).",Maximises use of observable market data; generally considered the strongest evidence of value; easy for clients to understand.,"Limited for complex or specialised properties; requires subjective adjustments; reliant on accurate, transparent transaction data; fails in thin markets.","Method of choice in Brazil; faces challenges in Africa (Kenya, Nigeria, Ghana) due to lack of transparent market data and indices.","Automated Valuation Models (AVMs), GIS, Real Estate Information Systems, and Big Data analytics.",1-11
Income Approach (Investment Method),"Valuing investment properties, commercial real estate, and assets where income-producing ability is the critical element.",Capitalisation of potential net income using a yield or multiplier (Years Purchase/Capitalisation Factor).,Reflects the income-producing nature of the asset; focuses on future cash flow potential.,Complexity in choosing appropriate capitalisation rates; results can be unrealistic if inputs are complex; subjective adjustments.,Standard for commercial properties in Nigeria and the UK; dominant in markets where rental companies prevail over owner-occupiers.,"AVMs, Financial Modelling Software, and Discounted Cash Flow (DCF) tools.","1, 2, 4, 6, 8, 9, 12, 13"
Discounted Cash Flow (DCF),Investment analysis and valuing development projects or portfolios with varying cash flows over time.,Converting projected future cash flows to a single Present Value (PV) using a discount rate reflecting time value of money and risk.,"Reflects anticipation of future economic benefits; allows for explicit modelling of growth, timing, and risk scenarios.",High sensitivity to discount rate and terminal value assumptions; vulnerable to economic instability and inflationary distortions.,Standard for British school of valuation; gaining acceptance in emerging markets like Sri Lanka and Brazil; used in Nairobi CBD.,"ARGUS Enterprise, Financial modelling software (Excel), and risk simulation tools (Monte Carlo).","1, 2, 8, 10, 12, 14"
Residual Land Value (Residual Method),"Determining market value of undeveloped land, redevelopment sites, or assessing project feasibility.","$RLV = GDV - (C + F + P)$  where GDV is Gross Development Value, C is Construction, F is Finance/Fees, and P is Developer Profit.",Unlocks hidden value based on 'highest and best use'; aligns with developer thought processes and negotiation needs.,Extremely sensitive to slight variations in costs or rent; regarded as a method of last resort; requires highly detailed estimates.,"Widely used in the UK, Lagos, and Nairobi; sensitive to build cost fluctuations in Brazil; applied in Kansas City, USA.","Development feasibility software (ARGUS EstateMaster), GIS, and advanced spreadsheet modelling.","1, 2, 4-6, 8, 11, 15-18"
Cost Approach (Depreciated Replacement Cost),"Valuing specialised assets (hospitals, refineries, schools) and non-income generating facilities.","Current Replacement Cost (modern equivalent) minus deductions for physical, functional, and economic obsolescence.",Useful when no active market or income stream exists; yields objective results when costs and wear are accurately assessed.,Determining correct 'utility' and obsolescence is difficult; may not reflect market value in volatile or high-inflation conditions.,Applicable globally for industrial plants; prominent in Nigeria and Sub-Saharan Africa where market data is thin.,"BIM (Building Information Modelling), Construction Cost Databases, and GIS.","1, 4, 6, 8, 9, 13"
Profits Method (Earnings Method),"Trading properties where value is tied to specific business activity (e.g. hotels, cinemas, care homes, petrol stations).",Assessment of actual or potential cash flows; isolating a portion of business profit as rent/economic rent for the premises.,Captures the value of a property’s specific trading potential; solution when comparable rental data is missing.,Difficult to separate real property interest from intangible assets (brand/goodwill); highly dependent on accurate accounts.,"Applied to leisure sectors in the UK, Poland, and Nigeria; used for telecommunications cable valuation in Indonesia.",Business accounting/revenue management systems and hospitality industry data analytics tools.,"1, 2, 4, 6, 9, 10"
Hedonic Pricing Model,"Assessing the impact of specific attributes (e.g. green certification, location, noise) on property prices.",Multiple Linear Regression analysis of large datasets to isolate the marginal value contribution of specific features.,Can quantify 'premia' for sustainability; handles many variables simultaneously; captures unobservable values like air quality.,Requires large volumes of transaction data; limited by linear assumptions; potential for multicollinearity.,"Used for BREEAM offices in London, GBI in Malaysia, and land rent in Italy; widely adopted in Nigeria, Hong Kong, and USA.","Statistical software (SPSS, R, STATA), Python (Scikit-learn), and GIS.","2, 3, 5, 6, 19-21"
AI/Machine Learning Valuation,"Predictive price modelling and mass appraisal in nascent, complex, or data-thin markets.","Algorithms (e.g. Random Forest, SVM, XGBoost) processing input attributes via neural networks or ensemble methods.",Superior accuracy with non-linear relationships; reduces human bias; robust against limited data in specific forms.,"'Black-box' nature lacks interpretability; requires high computational power, technical expertise, and data pipelines.","Proven effective in Dar es Salaam, Tanzania, for bridging formal and informal market data gaps; proposed for use in the Philippines.","Python, Cloud Computing (Google Colab), XGBoost, and SHAP values for Explainable AI.","4, 6, 8, 19, 21, 22"
Computer Assisted Mass Appraisal (CAMA),Property tax assessment by local governments; urban planning and resource allocation.,Multiple Regression Analysis (MRA) or Geographically Weighted Regression (GWR) applied to large datasets.,Efficiently processes large volumes of data; reduces human error and bias; provides transparent and auditable trails.,Requires high-quality databases and stable market indicators; may not capture unique individual object characteristics.,"Used in Colombia, Rwanda (Kigali tax mapping), and Uzbekistan for property tax reforms.","GIS, statistical software (SPSS, Stata), and cloud-based ERP systems.","8, 13, 23, 24"
Luminosity / Nightlight Proxy Analysis,Supplementing or substituting for GDP/output measures in regions with poor-quality data or informal markets.,Measures of nighttime lights visible from space (digital numbers/radiance) used as a proxy for economic activity.,Objectively measured and available globally at high spatial resolution; near real-time updates; independent of manual surveys.,High measurement error (min 25%); does not capture non-lighting informal/agricultural activities; weak signal in high-income areas.,Informational value for war-torn regions or tropical Africa; used in World Bank reports for assessing 'dead capital'.,"Remote Sensing, ArcGIS, and Satellite Imagery (DMSP-OLS).","8, 15, 25"
